industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
23,0.11,157.0,0,48,2,6,2023,2
7,0.265282,6.0,1,25,2,6,2023,2
12,0.265282,183.0,0,59,2,5,2023,0
7,0.25,42.0,3,25,2,5,2023,0
10,0.15,396.0,6,59,2,3,2023,1
15,0.265282,150.0,6,22,2,3,2023,1
3,0.2,10.0,0,59,2,3,2023,1
23,0.15,30.0,0,1,2,3,2023,2
5,0.265282,5500.0,12,22,2,2,2023,2
25,0.05,1200.0,13,59,2,2,2023,2
19,0.02,157.0,13,59,2,2,2023,2
12,0.265282,160.0,4,59,2,2,2023,1
25,0.07,157.0,13,58,2,2,2023,1
19,0.07,476.0,4,59,2,2,2023,1
9,0.265282,1800.0,6,59,2,2,2023,1
24,0.1,644.0,7,59,2,2,2023,1
3,0.265282,157.0,0,59,2,2,2023,1
4,0.265282,55.0,3,59,2,2,2023,0
5,0.265282,1500.0,2,59,2,2,2023,0
19,0.265282,811.0,13,59,2,2,2023,2
27,0.1,948.0,13,59,2,2,2023,2
2,0.2,240.0,13,50,2,2,2023,2
7,0.265282,60.0,4,35,2,2,2023,2
26,0.265282,497.0,5,59,2,2,2023,2
4,0.04,2400.0,13,59,2,1,2023,2
2,0.265282,1500.0,13,59,2,1,2023,1
2,0.04,719.0,13,59,2,1,2023,1
25,0.265282,161.0,13,59,2,1,2023,1
19,0.1,415.0,6,59,2,1,2023,1
18,0.22,157.0,13,7,2,1,2023,0
12,0.28,215.0,4,59,2,1,2023,0
3,0.05,536.0,7,59,2,1,2023,0
25,0.08,157.0,13,59,2,1,2023,0
14,0.03,100.0,12,59,2,1,2023,0
18,0.1,28.0,4,59,2,1,2023,0
26,0.265282,190.0,4,7,2,1,2023,2
18,0.08,80.0,6,59,2,1,2023,2
12,0.5,76.0,13,59,2,1,2023,2
4,0.08,245.0,13,15,2,1,2023,2
2,0.08,157.0,13,59,2,1,2023,2
10,0.265282,137.0,3,59,2,1,2023,2
9,0.265282,52.0,0,59,2,1,2023,2
27,0.06,10700.0,13,59,2,1,2023,2
7,0.07,216.0,13,59,1,31,2023,2
4,0.08,157.0,13,59,1,31,2023,2
10,0.03,230.0,13,59,1,31,2023,2
17,0.07,100.0,13,59,1,31,2023,2
7,0.2,144.0,13,59,1,31,2023,2
4,0.04,344.0,13,17,1,31,2023,1
23,0.17,1600.0,13,59,1,31,2023,1
7,0.265282,1300.0,5,17,1,31,2023,1
2,0.14,235.0,0,59,1,31,2023,0
27,0.265282,12.0,0,36,1,31,2023,0
7,0.265282,4100.0,13,5,1,31,2023,0
25,0.09,80.0,0,25,1,31,2023,0
11,0.04,157.0,13,59,1,31,2023,2
4,0.08,1100.0,13,7,1,31,2023,2
12,0.13,157.0,13,34,1,30,2023,2
17,0.15,157.0,14,34,1,30,2023,2
27,0.5,629.0,13,58,1,30,2023,2
23,0.265282,1400.0,13,59,1,30,2023,2
11,0.265282,12.0,13,59,1,30,2023,2
9,0.06,1200.0,14,51,1,30,2023,2
9,0.04,9900.0,13,17,1,30,2023,1
9,0.2,1900.0,9,59,1,30,2023,1
23,0.13,205.0,4,17,1,30,2023,0
