industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
19,0.08,663,13,52,'\'(245.743-inf)\'',2,24,2023
19,0.265282,1300,15,22,'\'(245.743-inf)\'',2,24,2023
27,0.265282,575,14,59,'\'(74.5-245.743]\'',2,24,2023
26,0.265282,325,14,59,'\'(-inf-74.5]\'',2,24,2023
9,0.265282,465,0,59,'\'(-inf-74.5]\'',2,24,2023
12,0.265282,132,13,59,'\'(-inf-74.5]\'',2,24,2023
7,0.265282,263,5,59,'\'(-inf-74.5]\'',2,24,2023
12,0.18,1900,13,59,'\'(245.743-inf)\'',2,24,2023
23,0.02,153,14,59,'\'(245.743-inf)\'',2,24,2023
12,0.1,157,14,59,'\'(74.5-245.743]\'',2,23,2023
